filingDate,acceptanceDateTime,accessionNumber,primaryDocument,form,ticker
2025-05-19,2025-05-20 00:13:01+00:00,0000950103-25-006201,xslF345X05/dp228833_4-houston.xml,4,META
2025-05-19,2025-05-20 00:10:09+00:00,0000950103-25-006200,xslF345X05/dp228829_4-tan.xml,4,META
2025-05-19,2025-05-20 00:08:53+00:00,0000950103-25-006199,xslF345X05/dp228834_4-killefer.xml,4,META
2025-05-19,2025-05-20 00:06:05+00:00,0000950103-25-006198,xslF345X05/dp228830_4-xu.xml,4,META
2025-05-19,2025-05-20 00:01:31+00:00,0000950103-25-006197,xslF345X05/dp228828_4-white.xml,4,META
2025-05-19,2025-05-19 23:58:45+00:00,0000950103-25-006195,xslF345X05/dp228827_4-songhurst.xml,4,META
2025-05-19,2025-05-19 23:49:23+00:00,0000950103-25-006194,xslF345X05/dp228825_4-arnold.xml,4,META
2025-05-19,2025-05-19 23:46:21+00:00,0000950103-25-006193,xslF345X05/dp228824_4-kimmitt.xml,4,META
2025-05-19,2025-05-19 23:44:24+00:00,0000950103-25-006192,xslF345X05/dp228823_4-andreessen.xml,4,META
2025-05-15,2025-05-15 22:42:45+00:00,0000950103-25-006089,xslF345X05/dp228822_4-newstead.xml,4,META
2025-05-14,2025-05-14 22:14:16+00:00,0000950103-25-006017,xslF345X05/dp228771_4-olivan.xml,4,META
2025-05-08,2025-05-08 22:17:53+00:00,0000950103-25-005855,xslF345X05/dp228618_4-newstead.xml,4,META
2025-05-07,2025-05-07 22:07:30+00:00,0000950103-25-005824,xslF345X05/dp228603_4-olivan.xml,4,META
2025-05-06,2025-05-06 22:36:42+00:00,0000950103-25-005792,xslF345X05/dp228558_4-zuckerberg0502.xml,4,META
2025-05-06,2025-05-06 22:21:37+00:00,0000950103-25-005791,xslF345X05/dp228555_4-alford.xml,4,META
2025-05-01,2025-05-01 22:45:54+00:00,0000950103-25-005594,xslF345X05/dp228369_4-newstead.xml,4,META
2025-04-30,2025-04-30 22:15:58+00:00,0000950103-25-005509,xslF345X05/dp228289_4-olivan.xml,4,META
2025-04-24,2025-04-24 23:27:58+00:00,0000950103-25-005235,xslF345X05/dp228007_4-newstead.xml,4,META
2025-04-23,2025-04-23 22:40:05+00:00,0000950103-25-005210,xslF345X05/dp227980_4-olivan.xml,4,META
2025-04-17,2025-04-17 22:06:12+00:00,0000950103-25-005022,xslF345X05/dp227792_4-newstead.xml,4,META
2025-04-16,2025-04-16 22:16:21+00:00,0000950103-25-004964,xslF345X05/dp227761_4-olivan.xml,4,META
2025-04-10,2025-04-10 22:37:47+00:00,0000950103-25-004696,xslF345X05/dp227465_4-newstead.xml,4,META
2025-04-09,2025-04-09 22:09:51+00:00,0000950103-25-004632,xslF345X05/dp227351_4-olivan.xml,4,META
2025-04-03,2025-04-04 00:02:10+00:00,0000950103-25-004375,xslF345X05/dp227123_4-newstead.xml,4,META
2025-04-02,2025-04-02 22:14:14+00:00,0000950103-25-004324,xslF345X05/dp227122_4-olivan.xml,4,META
2025-03-27,2025-03-27 22:06:44+00:00,0000950103-25-003927,xslF345X05/dp226693_4-newstead.xml,4,META
2025-03-26,2025-03-26 22:31:08+00:00,0000950103-25-003849,xslF345X05/dp226691_4-olivan.xml,4,META
2025-03-24,2025-03-25 00:36:16+00:00,0000950103-25-003761,xslF345X05/dp226593_4-olivan.xml,4,META
2025-03-24,2025-03-25 00:33:39+00:00,0000950103-25-003760,xslF345X05/dp226591_4-bosworth.xml,4,META
2025-03-24,2025-03-25 00:32:19+00:00,0000950103-25-003759,xslF345X05/dp226592_4-cox.xml,4,META
2025-03-24,2025-03-25 00:28:01+00:00,0000950103-25-003758,xslF345X05/dp226589_4-anderson.xml,4,META
2025-03-24,2025-03-25 00:27:36+00:00,0000950103-25-003757,xslF345X05/dp226594_4-newstead.xml,4,META
2025-03-24,2025-03-25 00:24:44+00:00,0000950103-25-003756,xslF345X05/dp226587_4-li.xml,4,META
2025-03-20,2025-03-20 22:18:54+00:00,0000950103-25-003699,xslF345X05/dp226497_4-newstead.xml,4,META
2025-03-19,2025-03-19 22:17:09+00:00,0000950103-25-003648,xslF345X05/dp226481_4-olivan.xml,4,META
2025-03-13,2025-03-13 22:20:44+00:00,0000950103-25-003430,xslF345X05/dp226247_4-newstead.xml,4,META
